series_id,year,value
PRS30006011,2022,20.5
PRS30006012,2022,17.1
PRS30006013,1998,705.9
PRS30006021,2010,17.7
PRS30006022,2010,12.4
PRS30006023,2014,503.22
PRS30006031,2022,20.6
PRS30006032,2021,17.0
PRS30006033,1998,702.67
PRS30006061,2022,34.5
PRS30006062,2021,29.8
PRS30006063,2025,665.85
PRS30006081,2021,24.5
PRS30006082,2021,24.5
PRS30006083,2022,131.29
PRS30006091,2002,43.4
PRS30006092,2002,44.3
PRS30006093,2013,514.16
PRS30006101,2020,33.1
PRS30006102,2020,35.7
PRS30006103,2025,671.32
PRS30006111,2020,33.8
PRS30006112,2008,42.0
PRS30006113,2025,675.94
PRS30006131,2021,18.6
PRS30006132,2021,18.6
PRS30006133,2022,132.84
PRS30006151,2020,26.2
PRS30006152,2020,30.5
PRS30006153,2020,529.23
PRS30006161,2010,50.5
PRS30006162,2002,48.0
PRS30006163,2014,515.92
PRS30006171,2015,11.1
PRS30006172,2015,11.1
PRS30006173,2001,123.11
PRS30006211,2010,35.0
PRS30006212,1997,38.5
PRS30006213,2007,523.83
PRS30006221,2021,13.1
PRS30006222,2021,13.1
PRS30006223,2022,129.51
PRS30006231,2021,18.7
PRS30006232,2021,18.7
PRS30006233,2022,128.01
PRS31006011,2022,20.2
PRS31006012,2022,20.0
PRS31006013,1998,707.85
PRS31006021,2010,19.4
PRS31006022,2010,14.3
PRS31006023,1997,503.92
PRS31006031,2022,23.9
PRS31006032,2011,21.9
PRS31006033,1998,705.69
PRS31006061,2000,34.1
PRS31006062,2017,30.1
PRS31006063,2025,665.48
PRS31006081,2021,17.3
PRS31006082,2021,17.3
PRS31006083,2022,123.75
PRS31006091,2010,42.8
PRS31006092,2002,49.7
PRS31006093,2014,507.25
PRS31006101,2000,34.6
PRS31006102,2020,39.8
PRS31006103,2025,674.53
PRS31006111,2009,37.5
PRS31006112,2008,57.7
PRS31006113,2025,687.06
PRS31006131,2021,12.9
PRS31006132,2021,12.9
PRS31006133,2022,126.72
PRS31006151,2020,26.7
PRS31006152,2020,34.9
PRS31006153,2020,528.86
PRS31006161,2010,64.0
PRS31006162,2002,54.6
PRS31006163,2014,510.86
PRS31006171,2009,8.9
PRS31006172,2009,8.9
PRS31006173,2001,112.14
PRS31006211,1997,47.6
PRS31006212,1997,55.1
PRS31006213,2007,523.36
PRS31006221,2022,9.2
PRS31006222,2022,9.2
PRS31006223,2022,124.68
PRS31006231,2022,13.5
PRS31006232,2022,13.5
PRS31006233,2022,121.76
PRS32006011,2022,21.1
PRS32006012,2021,14.0
PRS32006013,1995,726.14
PRS32006021,2010,14.5
PRS32006022,2010,9.2
PRS32006023,2012,503.28
PRS32006031,2021,18.3
PRS32006032,2021,17.8
PRS32006033,1995,710.85
PRS32006061,2022,40.4
PRS32006062,2021,30.9
PRS32006063,2025,666.57
PRS32006081,2021,26.8
PRS32006082,2021,26.8
PRS32006083,2022,135.62
PRS32006091,2002,35.0
PRS32006092,2004,31.5
PRS32006093,2014,513.8
PRS32006101,2020,33.7
PRS32006102,2003,34.6
PRS32006103,2025,666.0
PRS32006111,2022,40.5
PRS32006112,2022,38.4
PRS32006113,2025,668.23
PRS32006131,2021,21.3
PRS32006132,2021,21.3
PRS32006133,2022,136.37
PRS32006151,2020,26.8
PRS32006152,2020,26.1
PRS32006153,2020,531.36
PRS32006161,2002,36.0
PRS32006162,2002,31.6
PRS32006163,2013,516.75
PRS32006171,2015,15.5
PRS32006172,2015,15.5
PRS32006173,1998,137.19
PRS32006211,2021,23.1
PRS32006212,2021,20.8
PRS32006213,2007,517.02
PRS32006221,2021,17.3
PRS32006222,2021,17.3
PRS32006223,2022,134.13
PRS32006231,2021,22.6
PRS32006232,2021,22.6
PRS32006233,2022,133.39
PRS84006011,2022,22.7
PRS84006012,2021,25.6
PRS84006013,2025,537.75
PRS84006021,2010,6.0
PRS84006022,2010,7.0
PRS84006023,1997,518.5
PRS84006031,2021,27.3
PRS84006032,2021,27.7
PRS84006033,2025,526.12
PRS84006041,2021,39.0
PRS84006042,2021,35.1
PRS84006043,2025,622.06
PRS84006051,2021,66.7
